item_id,language,group,source_mwe_id,name,original,target,synonym,component,word_by_word,related,random,sentence_origin,source_name,source_url,license,license_review_status,semantic_review_status,grammar_review_status,frequency_match_status,review_status,primary_level,notes
TR-CTRL-001,TR,idiomatic_nc,TR-NC-001,acı reçete,Uzmanlar açıklanan programı acı reçete olarak niteledi.,acı reçete,sert önlem paketi,reçete,acı ilaç tarifi,kemer sıkma programı,kahve fincanı,authored_for_dataset,NCIMP Turkish extension - Experiment 4 control curation,,project-authored; release license pending,author_release_confirmation_required,review_required,review_required,pending_corpus_validation,review_required,contextual_span,Makale Experiment 4 tasarımına göre hazırlanmış kürasyon adayı; gold değildir.
TR-CTRL-002,TR,idiomatic_nc,TR-NC-002,açık çek,Kurul bu kararı açık çek olarak görmedi.,açık çek,sınırsız yetki,çek,doldurulmamış çek,geniş hareket alanı,okul bahçesi,authored_for_dataset,NCIMP Turkish extension - Experiment 4 control curation,,project-authored; release license pending,author_release_confirmation_required,review_required,review_required,pending_corpus_validation,review_required,contextual_span,Makale Experiment 4 tasarımına göre hazırlanmış kürasyon adayı; gold değildir.
TR-CTRL-003,TR,idiomatic_nc,TR-NC-003,ağır top,Aday listesinde ağır top yer aldı.,ağır top,etkili isim,top,ağır nesne,parti yöneticisi,su şişesi,authored_for_dataset,NCIMP Turkish extension - Experiment 4 control curation,,project-authored; release license pending,author_release_confirmation_required,review_required,review_required,pending_corpus_validation,review_required,contextual_span,Makale Experiment 4 tasarımına göre hazırlanmış kürasyon adayı; gold değildir.
TR-CTRL-004,TR,idiomatic_nc,TR-NC-004,akıl küpü,Sınıfın akıl küpü soruyu hemen çözdü.,akıl küpü,çok zeki kişi,küp,bilgi dolu kap,başarılı öğrenci,duvar saati,authored_for_dataset,NCIMP Turkish extension - Experiment 4 control curation,,project-authored; release license pending,author_release_confirmation_required,review_required,review_required,pending_corpus_validation,review_required,contextual_span,Makale Experiment 4 tasarımına göre hazırlanmış kürasyon adayı; gold değildir.
TR-CTRL-005,TR,idiomatic_nc,TR-NC-005,altın bilezik,Ustalık onun için altın bilezik sayılır.,altın bilezik,geçerli meslek,bilezik,değerli takı,iş becerisi,tren istasyonu,authored_for_dataset,NCIMP Turkish extension - Experiment 4 control curation,,project-authored; release license pending,author_release_confirmation_required,review_required,review_required,pending_corpus_validation,review_required,contextual_span,Makale Experiment 4 tasarımına göre hazırlanmış kürasyon adayı; gold değildir.
TR-CTRL-006,TR,idiomatic_nc,TR-NC-006,arka bahçe,Bu bölge şirketin arka bahçe olarak gördüğü bir pazardı.,arka bahçe,denetim alanı,bahçe,arka taraftaki bahçe,etki bölgesi,telefon numarası,authored_for_dataset,NCIMP Turkish extension - Experiment 4 control curation,,project-authored; release license pending,author_release_confirmation_required,review_required,review_required,pending_corpus_validation,review_required,contextual_span,Makale Experiment 4 tasarımına göre hazırlanmış kürasyon adayı; gold değildir.
TR-CTRL-007,TR,idiomatic_nc,TR-NC-007,arka kapı,Sorunu çözmek için arka kapı aradılar.,arka kapı,gayriresmî yol,kapı,arka giriş,gizli bağlantı,elektrik faturası,authored_for_dataset,NCIMP Turkish extension - Experiment 4 control curation,,project-authored; release license pending,author_release_confirmation_required,review_required,review_required,pending_corpus_validation,review_required,contextual_span,Makale Experiment 4 tasarımına göre hazırlanmış kürasyon adayı; gold değildir.
TR-CTRL-008,TR,idiomatic_nc,TR-NC-008,ayak bağı,Eski borçlar proje için ayak bağı oldu.,ayak bağı,engel,bağ,ayağa bağlanan yük,mali yük,çocuk kitabı,authored_for_dataset,NCIMP Turkish extension - Experiment 4 control curation,,project-authored; release license pending,author_release_confirmation_required,review_required,review_required,pending_corpus_validation,review_required,contextual_span,Makale Experiment 4 tasarımına göre hazırlanmış kürasyon adayı; gold değildir.
TR-CTRL-009,TR,idiomatic_nc,TR-NC-009,ayak oyunu,Bu hamle açıkça ayak oyunu sayıldı.,ayak oyunu,gizli hile,oyun,ayakla oynanan oyun,siyasi manevra,masa lambası,authored_for_dataset,NCIMP Turkish extension - Experiment 4 control curation,,project-authored; release license pending,author_release_confirmation_required,review_required,review_required,pending_corpus_validation,review_required,contextual_span,Makale Experiment 4 tasarımına göre hazırlanmış kürasyon adayı; gold değildir.
TR-CTRL-010,TR,idiomatic_nc,TR-NC-010,ateş çemberi,Kasaba kısa sürede ateş çemberi içinde kaldı.,ateş çemberi,tehlikeli kuşatma,çember,alev halkası,çatışma bölgesi,banka hesabı,authored_for_dataset,NCIMP Turkish extension - Experiment 4 control curation,,project-authored; release license pending,author_release_confirmation_required,review_required,review_required,pending_corpus_validation,review_required,contextual_span,Makale Experiment 4 tasarımına göre hazırlanmış kürasyon adayı; gold değildir.
TR-CTRL-011,TR,idiomatic_nc,TR-NC-011,baba ocağı,Onun için baba ocağı hâlâ güvenli bir yerdi.,baba ocağı,aile evi,ocak,babanın ocağı,çocukluk evi,spor salonu,authored_for_dataset,NCIMP Turkish extension - Experiment 4 control curation,,project-authored; release license pending,author_release_confirmation_required,review_required,review_required,pending_corpus_validation,review_required,contextual_span,Makale Experiment 4 tasarımına göre hazırlanmış kürasyon adayı; gold değildir.
TR-CTRL-012,TR,idiomatic_nc,TR-NC-012,balık hafızası,Sürekli unutması balık hafızası belirtisiydi.,balık hafızası,zayıf bellek,hafıza,balığın belleği,unutkanlık,güneş paneli,authored_for_dataset,NCIMP Turkish extension - Experiment 4 control curation,,project-authored; release license pending,author_release_confirmation_required,review_required,review_required,pending_corpus_validation,review_required,contextual_span,Makale Experiment 4 tasarımına göre hazırlanmış kürasyon adayı; gold değildir.
TR-CTRL-013,TR,idiomatic_nc,TR-NC-013,barut fıçısı,Bölge uzun süredir barut fıçısı sayılıyor.,barut fıçısı,patlamaya hazır ortam,fıçı,barut dolu varil,gerilim bölgesi,veri tabanı,authored_for_dataset,NCIMP Turkish extension - Experiment 4 control curation,,project-authored; release license pending,author_release_confirmation_required,review_required,review_required,pending_corpus_validation,review_required,contextual_span,Makale Experiment 4 tasarımına göre hazırlanmış kürasyon adayı; gold değildir.
TR-CTRL-014,TR,idiomatic_nc,TR-NC-014,beyaz perde,Roman yakında beyaz perde ile buluşacak.,beyaz perde,sinema,perde,beyaz ekran,film dünyası,iş planı,authored_for_dataset,NCIMP Turkish extension - Experiment 4 control curation,,project-authored; release license pending,author_release_confirmation_required,review_required,review_required,pending_corpus_validation,review_required,contextual_span,Makale Experiment 4 tasarımına göre hazırlanmış kürasyon adayı; gold değildir.
TR-CTRL-015,TR,idiomatic_nc,TR-NC-015,bit yeniği,Bu teklifte bit yeniği var.,bit yeniği,kuşkulu ayrıntı,yeniği,bit izi,gizli kusur,kredi kartı,authored_for_dataset,NCIMP Turkish extension - Experiment 4 control curation,,project-authored; release license pending,author_release_confirmation_required,review_required,review_required,pending_corpus_validation,review_required,contextual_span,Makale Experiment 4 tasarımına göre hazırlanmış kürasyon adayı; gold değildir.
TR-CTRL-016,TR,idiomatic_nc,TR-NC-016,can damarı,Ulaşım bölge ekonomisinin can damarı sayılır.,can damarı,temel unsur,damar,yaşamsal damar,ana kaynak,havaalanı terminali,authored_for_dataset,NCIMP Turkish extension - Experiment 4 control curation,,project-authored; release license pending,author_release_confirmation_required,review_required,review_required,pending_corpus_validation,review_required,contextual_span,Makale Experiment 4 tasarımına göre hazırlanmış kürasyon adayı; gold değildir.
TR-CTRL-017,TR,compositional_nc,TR-NC-192,araştırma projesi,Kurul yeni araştırma projesi için bütçe ayırdı.,araştırma projesi,bilimsel çalışma,proje,araştırma çalışması,akademik girişim,bit yeniği,authored_for_dataset,NCIMP Turkish extension - Experiment 4 control curation,,project-authored; release license pending,author_release_confirmation_required,review_required,review_required,pending_corpus_validation,review_required,contextual_span,Makale Experiment 4 tasarımına göre hazırlanmış kürasyon adayı; gold değildir.
TR-CTRL-018,TR,compositional_nc,TR-NC-193,iş planı,Yatırımcı ayrıntılı iş planı talep etti.,iş planı,girişim taslağı,plan,çalışma planı,şirket stratejisi,yılan hikayesi,authored_for_dataset,NCIMP Turkish extension - Experiment 4 control curation,,project-authored; release license pending,author_release_confirmation_required,review_required,review_required,pending_corpus_validation,review_required,contextual_span,Makale Experiment 4 tasarımına göre hazırlanmış kürasyon adayı; gold değildir.
TR-CTRL-019,TR,compositional_nc,TR-NC-194,veri tabanı,Ekip merkezi veri tabanı üzerinde çalışıyor.,veri tabanı,veri deposu,taban,bilgi tabanı,kayıt sistemi,can simidi,authored_for_dataset,NCIMP Turkish extension - Experiment 4 control curation,,project-authored; release license pending,author_release_confirmation_required,review_required,review_required,pending_corpus_validation,review_required,contextual_span,Makale Experiment 4 tasarımına göre hazırlanmış kürasyon adayı; gold değildir.
TR-CTRL-020,TR,compositional_nc,TR-NC-195,cep telefonu,Görevli kayıp cep telefonu buldu.,cep telefonu,mobil telefon,telefon,taşınabilir telefon,iletişim cihazı,kara koyun,authored_for_dataset,NCIMP Turkish extension - Experiment 4 control curation,,project-authored; release license pending,author_release_confirmation_required,review_required,review_required,pending_corpus_validation,review_required,contextual_span,Makale Experiment 4 tasarımına göre hazırlanmış kürasyon adayı; gold değildir.
TR-CTRL-021,TR,compositional_nc,TR-NC-196,çocuk kitabı,Yazar yeni çocuk kitabı yayımladı.,çocuk kitabı,çocuk yayını,kitap,küçükler için kitap,resimli yayın,ateş çemberi,authored_for_dataset,NCIMP Turkish extension - Experiment 4 control curation,,project-authored; release license pending,author_release_confirmation_required,review_required,review_required,pending_corpus_validation,review_required,contextual_span,Makale Experiment 4 tasarımına göre hazırlanmış kürasyon adayı; gold değildir.
TR-CTRL-022,TR,compositional_nc,TR-NC-197,kahve fincanı,Garson temiz kahve fincanı getirdi.,kahve fincanı,kahve kupası,fincan,sıcak içecek fincanı,porselen kap,açık çek,authored_for_dataset,NCIMP Turkish extension - Experiment 4 control curation,,project-authored; release license pending,author_release_confirmation_required,review_required,review_required,pending_corpus_validation,review_required,contextual_span,Makale Experiment 4 tasarımına göre hazırlanmış kürasyon adayı; gold değildir.
TR-CTRL-023,TR,compositional_nc,TR-NC-198,okul bahçesi,Çocuklar geniş okul bahçesi içinde oynadı.,okul bahçesi,okul avlusu,bahçe,eğitim kurumu bahçesi,oyun alanı,barut fıçısı,authored_for_dataset,NCIMP Turkish extension - Experiment 4 control curation,,project-authored; release license pending,author_release_confirmation_required,review_required,review_required,pending_corpus_validation,review_required,contextual_span,Makale Experiment 4 tasarımına göre hazırlanmış kürasyon adayı; gold değildir.
TR-CTRL-024,TR,compositional_nc,TR-NC-199,şehir merkezi,Otobüs kalabalık şehir merkezi yönüne gitti.,şehir merkezi,kent merkezi,merkez,kentin orta bölgesi,ticaret bölgesi,balık hafızası,authored_for_dataset,NCIMP Turkish extension - Experiment 4 control curation,,project-authored; release license pending,author_release_confirmation_required,review_required,review_required,pending_corpus_validation,review_required,contextual_span,Makale Experiment 4 tasarımına göre hazırlanmış kürasyon adayı; gold değildir.
TR-CTRL-025,TR,compositional_nc,TR-NC-200,sınıf öğretmeni,Toplantıya deneyimli sınıf öğretmeni katıldı.,sınıf öğretmeni,ilkokul öğretmeni,öğretmen,sınıfın eğitmeni,eğitimci,beyaz perde,authored_for_dataset,NCIMP Turkish extension - Experiment 4 control curation,,project-authored; release license pending,author_release_confirmation_required,review_required,review_required,pending_corpus_validation,review_required,contextual_span,Makale Experiment 4 tasarımına göre hazırlanmış kürasyon adayı; gold değildir.
TR-CTRL-026,TR,compositional_nc,TR-NC-201,trafik ışığı,Sürücü bozuk trafik ışığı fark etti.,trafik ışığı,trafik lambası,ışık,yol sinyal lambası,uyarı sistemi,baba ocağı,authored_for_dataset,NCIMP Turkish extension - Experiment 4 control curation,,project-authored; release license pending,author_release_confirmation_required,review_required,review_required,pending_corpus_validation,review_required,contextual_span,Makale Experiment 4 tasarımına göre hazırlanmış kürasyon adayı; gold değildir.
TR-CTRL-027,TR,compositional_nc,TR-NC-202,su şişesi,Sporcu dolu su şişesi taşıdı.,su şişesi,su matarası,şişe,içecek şişesi,plastik kap,arka kapı,authored_for_dataset,NCIMP Turkish extension - Experiment 4 control curation,,project-authored; release license pending,author_release_confirmation_required,review_required,review_required,pending_corpus_validation,review_required,contextual_span,Makale Experiment 4 tasarımına göre hazırlanmış kürasyon adayı; gold değildir.
TR-CTRL-028,TR,compositional_nc,TR-NC-203,masa lambası,Öğrenci parlak masa lambası satın aldı.,masa lambası,çalışma lambası,lamba,masa üstü ışığı,aydınlatma aracı,ayak oyunu,authored_for_dataset,NCIMP Turkish extension - Experiment 4 control curation,,project-authored; release license pending,author_release_confirmation_required,review_required,review_required,pending_corpus_validation,review_required,contextual_span,Makale Experiment 4 tasarımına göre hazırlanmış kürasyon adayı; gold değildir.
TR-CTRL-029,TR,compositional_nc,TR-NC-204,duvar saati,Tamirci eski duvar saati onardı.,duvar saati,duvar kronometresi,saat,duvara asılan saat,zaman göstergesi,altın bilezik,authored_for_dataset,NCIMP Turkish extension - Experiment 4 control curation,,project-authored; release license pending,author_release_confirmation_required,review_required,review_required,pending_corpus_validation,review_required,contextual_span,Makale Experiment 4 tasarımına göre hazırlanmış kürasyon adayı; gold değildir.
TR-CTRL-030,TR,compositional_nc,TR-NC-205,yemek masası,Aile büyük yemek masası çevresinde toplandı.,yemek masası,sofra masası,masa,yemek için masa,mobilya,can damarı,authored_for_dataset,NCIMP Turkish extension - Experiment 4 control curation,,project-authored; release license pending,author_release_confirmation_required,review_required,review_required,pending_corpus_validation,review_required,contextual_span,Makale Experiment 4 tasarımına göre hazırlanmış kürasyon adayı; gold değildir.
TR-CTRL-031,TR,compositional_nc,TR-NC-206,kitap kapağı,Tasarımcı renkli kitap kapağı hazırladı.,kitap kapağı,eser cildi,kapak,yayın dışlığı,koruyucu yüzey,ağır top,authored_for_dataset,NCIMP Turkish extension - Experiment 4 control curation,,project-authored; release license pending,author_release_confirmation_required,review_required,review_required,pending_corpus_validation,review_required,contextual_span,Makale Experiment 4 tasarımına göre hazırlanmış kürasyon adayı; gold değildir.
TR-CTRL-032,TR,compositional_nc,TR-NC-207,bahçe kapısı,Usta kırık bahçe kapısı değiştirdi.,bahçe kapısı,bahçe girişi,kapı,avlu kapısı,dış giriş,acı reçete,authored_for_dataset,NCIMP Turkish extension - Experiment 4 control curation,,project-authored; release license pending,author_release_confirmation_required,review_required,review_required,pending_corpus_validation,review_required,contextual_span,Makale Experiment 4 tasarımına göre hazırlanmış kürasyon adayı; gold değildir.
TR-CTRL-033,TR,single_word_control,,doktor,Tanık kendini doktor olarak tanıttı.,doktor,hekim,,,hemşire,halı,authored_for_dataset,NCIMP Turkish extension - Experiment 4 control curation,,project-authored; release license pending,author_release_confirmation_required,review_required,review_required,pending_corpus_validation,review_required,contextual_span,Makale Experiment 4 tasarımına göre hazırlanmış kürasyon adayı; gold değildir.
TR-CTRL-034,TR,single_word_control,,öğretmen,Komite onu öğretmen olarak görevlendirdi.,öğretmen,eğitmen,,,öğrenci,dağ,authored_for_dataset,NCIMP Turkish extension - Experiment 4 control curation,,project-authored; release license pending,author_release_confirmation_required,review_required,review_required,pending_corpus_validation,review_required,contextual_span,Makale Experiment 4 tasarımına göre hazırlanmış kürasyon adayı; gold değildir.
TR-CTRL-035,TR,single_word_control,,avukat,Şirket onu avukat olarak işe aldı.,avukat,hukukçu,,,yargıç,yastık,authored_for_dataset,NCIMP Turkish extension - Experiment 4 control curation,,project-authored; release license pending,author_release_confirmation_required,review_required,review_required,pending_corpus_validation,review_required,contextual_span,Makale Experiment 4 tasarımına göre hazırlanmış kürasyon adayı; gold değildir.
TR-CTRL-036,TR,single_word_control,,araba,Polis aracı araba olarak kaydetti.,araba,otomobil,,,otobüs,salatalık,authored_for_dataset,NCIMP Turkish extension - Experiment 4 control curation,,project-authored; release license pending,author_release_confirmation_required,review_required,review_required,pending_corpus_validation,review_required,contextual_span,Makale Experiment 4 tasarımına göre hazırlanmış kürasyon adayı; gold değildir.
TR-CTRL-037,TR,single_word_control,,ev,Belediye yapıyı ev olarak tescilledi.,ev,konut,,,apartman,bulut,authored_for_dataset,NCIMP Turkish extension - Experiment 4 control curation,,project-authored; release license pending,author_release_confirmation_required,review_required,review_required,pending_corpus_validation,review_required,contextual_span,Makale Experiment 4 tasarımına göre hazırlanmış kürasyon adayı; gold değildir.
TR-CTRL-038,TR,single_word_control,,kitap,Katalog ürünü kitap olarak sınıflandırdı.,kitap,eser,,,dergi,çekiç,authored_for_dataset,NCIMP Turkish extension - Experiment 4 control curation,,project-authored; release license pending,author_release_confirmation_required,review_required,review_required,pending_corpus_validation,review_required,contextual_span,Makale Experiment 4 tasarımına göre hazırlanmış kürasyon adayı; gold değildir.
TR-CTRL-039,TR,single_word_control,,çocuk,Mahkeme başvurucuyu çocuk olarak değerlendirdi.,çocuk,evlat,,,ebeveyn,motor,authored_for_dataset,NCIMP Turkish extension - Experiment 4 control curation,,project-authored; release license pending,author_release_confirmation_required,review_required,review_required,pending_corpus_validation,review_required,contextual_span,Makale Experiment 4 tasarımına göre hazırlanmış kürasyon adayı; gold değildir.
TR-CTRL-040,TR,single_word_control,,şehir,Rapor bölgeyi şehir olarak tanımladı.,şehir,kent,,,kasaba,kaşık,authored_for_dataset,NCIMP Turkish extension - Experiment 4 control curation,,project-authored; release license pending,author_release_confirmation_required,review_required,review_required,pending_corpus_validation,review_required,contextual_span,Makale Experiment 4 tasarımına göre hazırlanmış kürasyon adayı; gold değildir.
TR-CTRL-041,TR,single_word_control,,yol,Harita bu hattı yol olarak gösterdi.,yol,güzergâh,,,sokak,elma,authored_for_dataset,NCIMP Turkish extension - Experiment 4 control curation,,project-authored; release license pending,author_release_confirmation_required,review_required,review_required,pending_corpus_validation,review_required,contextual_span,Makale Experiment 4 tasarımına göre hazırlanmış kürasyon adayı; gold değildir.
TR-CTRL-042,TR,single_word_control,,para,Kasadaki varlığı para olarak kaydettiler.,para,nakit,,,banknot,orman,authored_for_dataset,NCIMP Turkish extension - Experiment 4 control curation,,project-authored; release license pending,author_release_confirmation_required,review_required,review_required,pending_corpus_validation,review_required,contextual_span,Makale Experiment 4 tasarımına göre hazırlanmış kürasyon adayı; gold değildir.
TR-CTRL-043,TR,single_word_control,,iş,Danışman faaliyeti iş olarak tanımladı.,iş,meslek,,,ofis,yıldız,authored_for_dataset,NCIMP Turkish extension - Experiment 4 control curation,,project-authored; release license pending,author_release_confirmation_required,review_required,review_required,pending_corpus_validation,review_required,contextual_span,Makale Experiment 4 tasarımına göre hazırlanmış kürasyon adayı; gold değildir.
TR-CTRL-044,TR,single_word_control,,resim,Editör dosyayı resim olarak ekledi.,resim,görsel,,,fotoğraf,motor,authored_for_dataset,NCIMP Turkish extension - Experiment 4 control curation,,project-authored; release license pending,author_release_confirmation_required,review_required,review_required,pending_corpus_validation,review_required,contextual_span,Makale Experiment 4 tasarımına göre hazırlanmış kürasyon adayı; gold değildir.
TR-CTRL-045,TR,single_word_control,,cevap,Sistem girdiyi cevap olarak kabul etti.,cevap,yanıt,,,soru,perde,authored_for_dataset,NCIMP Turkish extension - Experiment 4 control curation,,project-authored; release license pending,author_release_confirmation_required,review_required,review_required,pending_corpus_validation,review_required,contextual_span,Makale Experiment 4 tasarımına göre hazırlanmış kürasyon adayı; gold değildir.
TR-CTRL-046,TR,single_word_control,,problem,Ekip durumu problem olarak gördü.,problem,sorun,,,çözüm,sandalye,authored_for_dataset,NCIMP Turkish extension - Experiment 4 control curation,,project-authored; release license pending,author_release_confirmation_required,review_required,review_required,pending_corpus_validation,review_required,contextual_span,Makale Experiment 4 tasarımına göre hazırlanmış kürasyon adayı; gold değildir.
TR-CTRL-047,TR,single_word_control,,hediye,Paket gümrükte hediye olarak beyan edildi.,hediye,armağan,,,kutu,nehir,authored_for_dataset,NCIMP Turkish extension - Experiment 4 control curation,,project-authored; release license pending,author_release_confirmation_required,review_required,review_required,pending_corpus_validation,review_required,contextual_span,Makale Experiment 4 tasarımına göre hazırlanmış kürasyon adayı; gold değildir.
TR-CTRL-048,TR,single_word_control,,toplantı,Takvim etkinliği toplantı olarak kaydetti.,toplantı,oturum,,,konferans,karpuz,authored_for_dataset,NCIMP Turkish extension - Experiment 4 control curation,,project-authored; release license pending,author_release_confirmation_required,review_required,review_required,pending_corpus_validation,review_required,contextual_span,Makale Experiment 4 tasarımına göre hazırlanmış kürasyon adayı; gold değildir.
TR-CTRL-049,TR,ordinary_two_word_control,,kırmızı araba,Kamerada kırmızı araba açıkça görünüyordu.,kırmızı araba,al renkli otomobil,araba,kızıl taşıt,bordo araç,kahve kaşığı,authored_for_dataset,NCIMP Turkish extension - Experiment 4 control curation,,project-authored; release license pending,author_release_confirmation_required,review_required,review_required,pending_corpus_validation,review_required,contextual_span,Makale Experiment 4 tasarımına göre hazırlanmış kürasyon adayı; gold değildir.
TR-CTRL-050,TR,ordinary_two_word_control,,büyük ev,Tepenin yanında büyük ev bulunuyordu.,büyük ev,geniş konut,ev,iri yapı,geniş bina,mavi kalem,authored_for_dataset,NCIMP Turkish extension - Experiment 4 control curation,,project-authored; release license pending,author_release_confirmation_required,review_required,review_required,pending_corpus_validation,review_required,contextual_span,Makale Experiment 4 tasarımına göre hazırlanmış kürasyon adayı; gold değildir.
TR-CTRL-051,TR,ordinary_two_word_control,,hızlı tren,İstasyondan hızlı tren geçti.,hızlı tren,süratli demiryolu aracı,tren,çabuk lokomotif,ekspres hat,sıcak çorba,authored_for_dataset,NCIMP Turkish extension - Experiment 4 control curation,,project-authored; release license pending,author_release_confirmation_required,review_required,review_required,pending_corpus_validation,review_required,contextual_span,Makale Experiment 4 tasarımına göre hazırlanmış kürasyon adayı; gold değildir.
TR-CTRL-052,TR,ordinary_two_word_control,,eski kitap,Rafın üzerinde eski kitap duruyordu.,eski kitap,antika eser,kitap,eski yayın,tarihî cilt,yeşil kapı,authored_for_dataset,NCIMP Turkish extension - Experiment 4 control curation,,project-authored; release license pending,author_release_confirmation_required,review_required,review_required,pending_corpus_validation,review_required,contextual_span,Makale Experiment 4 tasarımına göre hazırlanmış kürasyon adayı; gold değildir.
TR-CTRL-053,TR,ordinary_two_word_control,,soğuk su,Masada soğuk su bekliyordu.,soğuk su,serin içecek,su,düşük sıcaklıklı su,buzlu içecek,uzun yol,authored_for_dataset,NCIMP Turkish extension - Experiment 4 control curation,,project-authored; release license pending,author_release_confirmation_required,review_required,review_required,pending_corpus_validation,review_required,contextual_span,Makale Experiment 4 tasarımına göre hazırlanmış kürasyon adayı; gold değildir.
TR-CTRL-054,TR,ordinary_two_word_control,,mavi gömlek,Vitrinde mavi gömlek sergileniyordu.,mavi gömlek,lacivert giysi,gömlek,mavi kıyafet,renkli üstlük,tahta kaşık,authored_for_dataset,NCIMP Turkish extension - Experiment 4 control curation,,project-authored; release license pending,author_release_confirmation_required,review_required,review_required,pending_corpus_validation,review_required,contextual_span,Makale Experiment 4 tasarımına göre hazırlanmış kürasyon adayı; gold değildir.
TR-CTRL-055,TR,ordinary_two_word_control,,küçük köpek,Bahçede küçük köpek koşuyordu.,küçük köpek,minik köpek,köpek,ufak evcil hayvan,yavru köpek,yüksek dağ,authored_for_dataset,NCIMP Turkish extension - Experiment 4 control curation,,project-authored; release license pending,author_release_confirmation_required,review_required,review_required,pending_corpus_validation,review_required,contextual_span,Makale Experiment 4 tasarımına göre hazırlanmış kürasyon adayı; gold değildir.
TR-CTRL-056,TR,ordinary_two_word_control,,güçlü motor,Araçta güçlü motor kullanılıyordu.,güçlü motor,kuvvetli makine,motor,yüksek güçlü makine,performanslı düzenek,sessiz oda,authored_for_dataset,NCIMP Turkish extension - Experiment 4 control curation,,project-authored; release license pending,author_release_confirmation_required,review_required,review_required,pending_corpus_validation,review_required,contextual_span,Makale Experiment 4 tasarımına göre hazırlanmış kürasyon adayı; gold değildir.
TR-CTRL-057,TR,ordinary_two_word_control,,yeni telefon,Kutudan yeni telefon çıktı.,yeni telefon,son model cihaz,telefon,yeni iletişim cihazı,akıllı cihaz,kuru ekmek,authored_for_dataset,NCIMP Turkish extension - Experiment 4 control curation,,project-authored; release license pending,author_release_confirmation_required,review_required,review_required,pending_corpus_validation,review_required,contextual_span,Makale Experiment 4 tasarımına göre hazırlanmış kürasyon adayı; gold değildir.
TR-CTRL-058,TR,ordinary_two_word_control,,ahşap masa,Salonda ahşap masa bulunuyordu.,ahşap masa,tahta masa,masa,ağaçtan masa,salon mobilyası,hızlı cevap,authored_for_dataset,NCIMP Turkish extension - Experiment 4 control curation,,project-authored; release license pending,author_release_confirmation_required,review_required,review_required,pending_corpus_validation,review_required,contextual_span,Makale Experiment 4 tasarımına göre hazırlanmış kürasyon adayı; gold değildir.
TR-CTRL-059,TR,ordinary_two_word_control,,temiz oda,Koridorun sonunda temiz oda vardı.,temiz oda,hijyenik oda,oda,pak mekân,düzenli bölüm,sarı otobüs,authored_for_dataset,NCIMP Turkish extension - Experiment 4 control curation,,project-authored; release license pending,author_release_confirmation_required,review_required,review_required,pending_corpus_validation,review_required,contextual_span,Makale Experiment 4 tasarımına göre hazırlanmış kürasyon adayı; gold değildir.
TR-CTRL-060,TR,ordinary_two_word_control,,sıcak çorba,Tezgâhta sıcak çorba duruyordu.,sıcak çorba,ılık yemek,çorba,sıcak yemek,taze başlangıç,eski köprü,authored_for_dataset,NCIMP Turkish extension - Experiment 4 control curation,,project-authored; release license pending,author_release_confirmation_required,review_required,review_required,pending_corpus_validation,review_required,contextual_span,Makale Experiment 4 tasarımına göre hazırlanmış kürasyon adayı; gold değildir.
TR-CTRL-061,TR,ordinary_two_word_control,,uzun yol,Önümüzde uzun yol uzanıyordu.,uzun yol,uzak güzergâh,yol,uzun rota,şehirlerarası hat,küçük kalem,authored_for_dataset,NCIMP Turkish extension - Experiment 4 control curation,,project-authored; release license pending,author_release_confirmation_required,review_required,review_required,pending_corpus_validation,review_required,contextual_span,Makale Experiment 4 tasarımına göre hazırlanmış kürasyon adayı; gold değildir.
TR-CTRL-062,TR,ordinary_two_word_control,,yeşil kapı,Binada yeşil kapı dikkat çekiyordu.,yeşil kapı,zümrüt renkli giriş,kapı,yeşil giriş,boyalı geçit,tatlı elma,authored_for_dataset,NCIMP Turkish extension - Experiment 4 control curation,,project-authored; release license pending,author_release_confirmation_required,review_required,review_required,pending_corpus_validation,review_required,contextual_span,Makale Experiment 4 tasarımına göre hazırlanmış kürasyon adayı; gold değildir.
TR-CTRL-063,TR,ordinary_two_word_control,,sakin deniz,Ufukta sakin deniz görünüyordu.,sakin deniz,durgun deniz,deniz,dingin su,sessiz kıyı,yeni bilgisayar,authored_for_dataset,NCIMP Turkish extension - Experiment 4 control curation,,project-authored; release license pending,author_release_confirmation_required,review_required,review_required,pending_corpus_validation,review_required,contextual_span,Makale Experiment 4 tasarımına göre hazırlanmış kürasyon adayı; gold değildir.
TR-CTRL-064,TR,ordinary_two_word_control,,yüksek bina,Meydanda yüksek bina yükseliyordu.,yüksek bina,uzun yapı,bina,yüksek yapı,çok katlı yapı,soğuk kahve,authored_for_dataset,NCIMP Turkish extension - Experiment 4 control curation,,project-authored; release license pending,author_release_confirmation_required,review_required,review_required,pending_corpus_validation,review_required,contextual_span,Makale Experiment 4 tasarımına göre hazırlanmış kürasyon adayı; gold değildir.
